CBSA,ZIP,Locale,State,CBSA Title
27260,32258,Jacksonville,FL,"Jacksonville, FL"
16980,60586,Plainfield,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
49340,06256,North Windham,CT,"Worcester, MA-CT"
33460,55120,Saint Paul,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
29820,89074,Henderson,NV,"Las Vegas-Henderson-Paradise, NV"
37980,19401,East Norriton,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
NULL,15535,Clearville,PA,NULL
49340,01526,Manchaug,MA,"Worcester, MA-CT"
49660,44438,Masury,OH,"Youngstown-Warren-Boardman, OH-PA"
NULL,15537,Everett,PA,NULL
40900,95765,Rocklin,CA,"Sacramento-Roseville-Folsom, CA"
43620,57110,Sioux Falls,SD,"Sioux Falls, SD"
25460,72601,Harrison,AR,"Harrison, AR"
41180,63088,Valley Park,MO,"St. Louis, MO-IL"
30460,40544,Lexington,KY,"Lexington-Fayette, KY"
17140,45240,Cincinnati,OH,"Cincinnati, OH-KY-IN"
26420,77244,Houston,TX,"Houston-The Woodlands-Sugar Land, TX"
24340,49426,Hudsonville,MI,"Grand Rapids-Kentwood, MI"
37100,93033,Oxnard,CA,"Oxnard-Thousand Oaks-Ventura, CA"
22520,35662,Muscle Shoals,AL,"Florence-Muscle Shoals, AL"
42660,98014,Carnation,WA,"Seattle-Tacoma-Bellevue, WA"
24300,81506,Grand Junction,CO,"Grand Junction, CO"
39580,27527,Clayton,NC,"Raleigh-Cary, NC"
15940,44641,Louisville,OH,"Canton-Massillon, OH"
19300,36526,Daphne,AL,"Daphne-Fairhope-Foley, AL"
25940,29925,Hilton Head Island,SC,"Hilton Head Island-Bluffton, SC"
47260,23513,Norfolk,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
10420,44241,Streetsboro,OH,"Akron, OH"
14140,24739,Princeton,WV,"Bluefield, WV-VA"
12940,70806,Baton Rouge,LA,"Baton Rouge, LA"
42660,98406,Tacoma,WA,"Seattle-Tacoma-Bellevue, WA"
38300,15210,Pittsburgh,PA,"Pittsburgh, PA"
34980,37030,Carthage,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN"
27500,53534,Edgerton,WI,"Janesville-Beloit, WI"
46660,31629,Dixie,GA,"Valdosta, GA"
30260,17886,West Milton,PA,"Lewisburg, PA"
35620,07711,Allenhurst,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
31700,03101,Manchester,NH,"Manchester-Nashua, NH"
37980,19034,Ft Washington,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
16980,60124,Elgin,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
13220,25865,Lester,WV,"Beckley, WV"
44980,17017,Dalmatia,PA,"Sunbury, PA"
35380,70087,Saint Rose,LA,"New Orleans-Metairie, LA"
24660,27235,Colfax,NC,"Greensboro-High Point, NC"
NULL,18436,Lake Ariel,PA,NULL
NULL,63468,Shelbina,MO,NULL
48060,13675,Plessis,NY,"Watertown-Fort Drum, NY"
35620,11411,Cambria Heights,NY,"New York-Newark-Jersey City, NY-NJ-PA"
39380,81069,Rye,CO,"Pueblo, CO"
35620,11422,Rosedale,NY,"New York-Newark-Jersey City, NY-NJ-PA"
48620,67068,Kingman,KS,"Wichita, KS"
49020,22654,Star Tannery,VA,"Winchester, VA-WV"
NULL,01370,Shelburne Falls,MA,NULL
35620,07719,Lake Como,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
45300,33703,St Petersburg,FL,"Tampa-St. Petersburg-Clearwater, FL"
39300,02889,Warwick,RI,"Providence-Warwick, RI-MA"
42540,18644,West Wyoming,PA,"Scranton--Wilkes-Barre, PA"
35620,07676,Township of Washingt,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
12940,70762,Oscar,LA,"Baton Rouge, LA"
27340,28539,Hubert,NC,"Jacksonville, NC"
31080,90023,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA"
12060,30350,Sandy Springs,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
48060,13679,Redwood,NY,"Watertown-Fort Drum, NY"
35620,12508,Beacon,NY,"New York-Newark-Jersey City, NY-NJ-PA"
38300,16033,Evans City,PA,"Pittsburgh, PA"
45300,33592,Thonotosassa,FL,"Tampa-St. Petersburg-Clearwater, FL"
NULL,67124,Pratt,KS,NULL
19820,48184,Wayne,MI,"Detroit-Warren-Dearborn, MI"
NULL,04662,Northeast Harbor,ME,NULL
25540,06045,Manchester,CT,"Hartford-East Hartford-Middletown, CT"
37420,79065,Pampa,TX,"Pampa, TX"
16700,29423,Charleston,SC,"Charleston-North Charleston, SC"
NULL,23316,Cheriton,VA,NULL
42660,98271,Marysville,WA,"Seattle-Tacoma-Bellevue, WA"
35620,10016,Manhattan,NY,"New York-Newark-Jersey City, NY-NJ-PA"
14460,03823,Madbury,NH,"Boston-Cambridge-Newton, MA-NH"
49180,27105,Winston Salem,NC,"Winston-Salem, NC"
NULL,76470,Ranger,TX,NULL
31080,90704,Avalon,CA,"Los Angeles-Long Beach-Anaheim, CA"
35620,11413,Laurelton,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,24472,Raphine,VA,NULL
36780,54902,Oshkosh,WI,"Oshkosh-Neenah, WI"
14460,02125,Uphams Corner,MA,"Boston-Cambridge-Newton, MA-NH"
25900,96727,Honokaa,HI,"Hilo, HI"
27340,28460,Sneads Ferry,NC,"Jacksonville, NC"
44140,01030,Feeding Hills,MA,"Springfield, MA"
35620,07647,Rockleigh,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,23970,South Hill,VA,NULL
35620,11722,Central Islip,NY,"New York-Newark-Jersey City, NY-NJ-PA"
45300,33704,St Petersburg,FL,"Tampa-St. Petersburg-Clearwater, FL"
38300,15282,Pittsburgh,PA,"Pittsburgh, PA"
17140,45246,Glendale,OH,"Cincinnati, OH-KY-IN"
38300,15062,Monessen,PA,"Pittsburgh, PA"
36660,70570,Opelousas,LA,"Opelousas, LA"
36460,14772,Randolph,NY,"Olean, NY"
26420,77072,Houston,TX,"Houston-The Woodlands-Sugar Land, TX"
14460,03036,Chester,NH,"Boston-Cambridge-Newton, MA-NH"
18500,14821,Campbell,NY,"Corning, NY"
46060,85756,Tucson,AZ,"Tucson, AZ"
NULL,78355,Falfurrias,TX,NULL
39300,02748,Dartmouth,MA,"Providence-Warwick, RI-MA"
NULL,81049,Kim,CO,NULL
16700,29461,Moncks Corner,SC,"Charleston-North Charleston, SC"
39340,84606,Provo,UT,"Provo-Orem, UT"
12860,14020,Batavia,NY,"Batavia, NY"
16980,60204,Evanston,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
31080,90713,Lakewood,CA,"Los Angeles-Long Beach-Anaheim, CA"
35620,08557,Sergeantsville,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
35620,11949,Manorville,NY,"New York-Newark-Jersey City, NY-NJ-PA"
45940,08619,Mercerville,NJ,"Trenton-Princeton, NJ"
45780,43571,Whitehouse,OH,"Toledo, OH"
41940,94042,Mountain View,CA,"San Jose-Sunnyvale-Santa Clara, CA"
NULL,09459,APO,AE,NULL
38860,04006,Biddeford Pool,ME,"Portland-South Portland, ME"
41740,92169,San Diego,CA,"San Diego-Chula Vista-Carlsbad, CA"
NULL,04429,Holden,ME,NULL
NULL,52641,Mount Pleasant,IA,NULL
18140,43230,Columbus,OH,"Columbus, OH"
NULL,52591,Sigourney,IA,NULL
24340,49464,Zeeland,MI,"Grand Rapids-Kentwood, MI"
27600,30558,Maysville,GA,"Jefferson, GA"
47260,23690,Yorktown,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
12060,30313,Atlanta,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
45780,43522,Grand Rapids,OH,"Toledo, OH"
31080,90293,Playa del Rey,CA,"Los Angeles-Long Beach-Anaheim, CA"
17140,45213,Cincinnati,OH,"Cincinnati, OH-KY-IN"
18500,14807,Arkport,NY,"Corning, NY"
31700,03458,Sharon,NH,"Manchester-Nashua, NH"
12260,30426,Girard,GA,"Augusta-Richmond County, GA-SC"
41700,78133,Canyon Lake,TX,"San Antonio-New Braunfels, TX"
33460,55047,Marine On St Croix,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
45300,33704,St. Petersburg,FL,"Tampa-St. Petersburg-Clearwater, FL"
47900,22736,Richardsville,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
41860,94555,"Fremont ",CA,"San Francisco-Oakland-Berkeley, CA"
38900,97003,Beaverton,OR,"Portland-Vancouver-Hillsboro, OR-WA"
35380,70121,Jefferson,LA,"New Orleans-Metairie, LA"
35620,07737,Leonardo,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
29200,47941,Dayton,IN,"Lafayette-West Lafayette, IN"
41620,84115,South Salt Lake,UT,"Salt Lake City, UT"
NULL,22723,Hood,VA,NULL
47900,20745,National Harbor,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
15540,05478,St Albans,VT,"Burlington-South Burlington, VT"
33100,33063,Coconut Creek,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
45140,74465,Tahlequah,OK,"Tahlequah, OK"
42220,95465,Occidental,CA,"Santa Rosa-Petaluma, CA"
35620,10567,Cortlandt,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,83226,Challis,ID,NULL
43900,29333,Drayton,SC,"Spartanburg, SC"
41060,56374,Saint Joseph,MN,"St. Cloud, MN"
35620,07078,short hills,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
12060,30096,Berkeley Lake,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
46660,31643,Quitman,GA,"Valdosta, GA"
25420,17043,Wormleysburg,PA,"Harrisburg-Carlisle, PA"
33100,33461,Palm Springs,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
NULL,09706,APO,AE,NULL
31080,92616,Irvine,CA,"Los Angeles-Long Beach-Anaheim, CA"
42220,94975,Petaluma,CA,"Santa Rosa-Petaluma, CA"
13820,35243,Vestavia,AL,"Birmingham-Hoover, AL"
47900,20007,"Washington ",DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
33980,28570,"Newport ",NC,"Morehead City, NC"
31080,90274,Pls Vrds Est,CA,"Los Angeles-Long Beach-Anaheim, CA"
35620,07026,Garfield,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
49660,16127,Grove City,PA,"Youngstown-Warren-Boardman, OH-PA"
31080,91364,Woodland Hls,CA,"Los Angeles-Long Beach-Anaheim, CA"
33100,33179,N Miami Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
37340,32936,Melbourne,FL,"Palm Bay-Melbourne-Titusville, FL"
30340,04256,Mechanic Falls,ME,"Lewiston-Auburn, ME"
21780,47610,Chandler,IN,"Evansville, IN-KY"
25060,39525,Diamondhead,MS,"Gulfport-Biloxi, MS"
14460,02370,Rockland,MA,"Boston-Cambridge-Newton, MA-NH"
NULL,24224,Castlewood,VA,NULL
16860,30725,Flintstone,GA,"Chattanooga, TN-GA"
27780,15714,Northern Cambria,PA,"Johnstown, PA"
12580,21215,BALTIMORE,MD,"Baltimore-Columbia-Towson, MD"
