ZIP,CBSA,CBSA Title,State,Locale
00501,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
00501,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
06390,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
06390,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07001,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07001,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07002,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07002,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07003,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07003,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07004,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07004,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07005,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07005,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07006,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07006,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07007,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07007,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07008,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07008,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07009,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07009,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07010,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07010,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07011,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07011,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07012,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07012,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07013,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07013,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07014,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07014,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07015,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07015,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07016,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07016,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07017,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07017,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07018,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07018,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07019,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07019,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07020,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07020,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
