"Hard and Soft Credit : Constituent : JHAS ID","Credit Amount","Fiscal Years"
"13478980","50.00","Prior FYs"
"10230353","40.00","Prior FYs"
"10263546","300.00","Prior FYs"
"13478981","400.00","Prior FYs"
"10230353","25.00","Prior FYs"
"10263546","100.00","Prior FYs"
"13478981","100.00","Prior FYs"
"10230353","30.00","Prior FYs"
"10263546","1000.00","Prior FYs"
"13479272","17.41","Prior FYs"
"10230353","30.00","Prior FYs"
"10263546","1000.00","Prior FYs"
"13479272","31.41","Prior FYs"
"10230353","35.00","Prior FYs"
"10263546","100.00","Prior FYs"
"13479677","100.00","Prior FYs"
"10230353","40.00","Prior FYs"
"10263546","1000.00","Prior FYs"
"13480062","17.00","Prior FYs"
"10230353","50.00","Prior FYs"
"10263546","100.00","Prior FYs"
"13480522","100.00","Prior FYs"
"10230353","25.00","Prior FYs"
"10263546","1000.00","Prior FYs"
"13480547","50.00","Prior FYs"
"10230353","30.00","Prior FYs"
"10263546","100.00","Prior FYs"
"13480882","50.00","Prior FYs"
"10230353","15.00","Prior FYs"
"10263546","1000.00","Prior FYs"
"13481163","50.00","Prior FYs"
"10230353","10.00","Prior FYs"
"10263546","10000.00","Prior FYs"
"13481403","50.00","Prior FYs"
"10230353","10.00","Prior FYs"
"10263546","10000.00","Prior FYs"
"13482425","100.00","Prior FYs"
"10230353","25.00","Prior FYs"
"10263692","25.00","Prior FYs"
"13482982","17.41","Prior FYs"
"10230353","10.00","Prior FYs"
"10263754","25.00","Prior FYs"
"13482982","31.41","Prior FYs"
"10230353","20.00","Prior FYs"
"10263754","25.00","Prior FYs"
"13483272","50.00","Prior FYs"
"10230353","25.00","Prior FYs"
"10263759","100.00","Prior FYs"
"13483638","50.00","Prior FYs"
"10230353","25.00","Prior FYs"
"10263759","100.00","Prior FYs"
"13483736","100.00","Prior FYs"
"10230353","35.00","Prior FYs"
"10263762","25.00","Prior FYs"
"13485504","50.00","Prior FYs"
"10230353","40.00","Prior FYs"
"10263762","25.00","Prior FYs"
"13485670","400.00","Prior FYs"
"10230353","50.00","Prior FYs"
"10263764","750000.00","Prior FYs"
"13485670","100.00","Prior FYs"
"10230353","25.00","Prior FYs"
"10263764","16433.12","Prior FYs"
"13485523","250.00","Prior FYs"
"10230353","25.00","Prior FYs"
"10263764","750000.00","Prior FYs"
"13485626","50.00","Prior FYs"
"10230353","45.00","Prior FYs"
"10263764","16433.12","Prior FYs"
"13485627","100.00","Prior FYs"
"10230353","50.00","Prior FYs"
"10263828","75.00","Prior FYs"
"13485665","50.00","Prior FYs"
"10230353","500.00","Prior FYs"
"10263849","35.00","Prior FYs"
"13489904","13.00","Prior FYs"
"10230354","100.00","Prior FYs"
"10263849","35.00","Prior FYs"
"13489974","61.00","Prior FYs"
"10230354","200.00","Prior FYs"
"10263861","50.00","Prior FYs"
"13489974","17.00","Prior FYs"
"10230354","150.00","Prior FYs"
"10263861","10.00","Prior FYs"
"13489974","34.00","Prior FYs"
"10230354","150.00","Prior FYs"
"10263861","25.00","Prior FYs"
"13489974","63.00","This FY"
"10230354","100.00","Prior FYs"
"10263861","25.00","Prior FYs"
"13491851","5000.00","Prior FYs"
"10230354","100.00","Prior FYs"
"10263861","25.00","Prior FYs"
"13491851","5000.00","Prior FYs"
"10230354","100.00","Prior FYs"
"10263861","25.00","Prior FYs"
"13491851","5000.00","Prior FYs"
"10230354","100.00","Prior FYs"
"10263861","10.00","Prior FYs"
"13491851","10000.00","Prior FYs"
"10230354","100.00","Prior FYs"
"10263861","50.00","Prior FYs"
"13491851","10000.00","Prior FYs"
"10230354","5000.00","Prior FYs"
"10263861","25.00","Prior FYs"
"13491851","10000.00","Prior FYs"
"10230354","5000.00","Prior FYs"
"10263861","25.00","Prior FYs"
"13491851","5000.00","Prior FYs"
"10230355","25.00","Prior FYs"
"10263861","25.00","Prior FYs"
"13491852","500.00","Prior FYs"
"10230355","50.00","Prior FYs"
"10263861","25.00","Prior FYs"
"13492090","50.00","Prior FYs"
"10230355","50.00","Prior FYs"
"10263861","100.00","Prior FYs"
"13492212","25.00","Prior FYs"
"10230355","25.00","Prior FYs"
"10263861","25.00","Prior FYs"
"13492237","50.00","Prior FYs"
"10230355","25.00","Prior FYs"
"10263861","20.00","Prior FYs"
"13492245","11.00","Prior FYs"
"10230355","25.00","Prior FYs"
"10263861","20.00","Prior FYs"
"13492260","500.00","Prior FYs"
"10230355","25.00","Prior FYs"
"10263861","60.00","Prior FYs"
"13492441","24.00","This FY"
"10230355","25.00","Prior FYs"
"10263878","100.00","Prior FYs"
"13492706","23.00","This FY"
"10230355","50.00","Prior FYs"
"10263910","10.00","Prior FYs"
"13493951","10.00","Prior FYs"
"10230355","50.00","Prior FYs"
"10263910","10.00","Prior FYs"
"13493951","0.00","Prior FYs"
"10230355","25.00","Prior FYs"
"10263960","25.00","Prior FYs"
"13498757","50.00","Prior FYs"
"10230355","25.00","Prior FYs"
"10264020","100.00","Prior FYs"
"13498820","1000.00","Prior FYs"
"10230355","25.00","Prior FYs"
"10264043","25.00","Prior FYs"
"13506998","17.00","Prior FYs"
