"Hard and Soft Credit : Constituent : JHAS ID","Hard and Soft Credit : Constituent : Date of Most Recent Gift","Hard and Soft Credit : Constituent : Date of Most Recent Pledge"
"13478980","6/17/2022",""
"13478981","11/18/2023",""
"13478981","11/18/2023",""
"13479272","2/1/2024","11/15/2023"
"13479272","2/1/2024","11/15/2023"
"13479677","6/18/2022",""
"13480062","9/8/2023",""
"13480522","6/7/2022",""
"13480547","6/18/2022",""
"13480882","6/13/2022",""
"13481163","6/18/2022",""
"13481403","6/13/2022",""
"13482425","6/11/2022",""
"13482982","2/1/2024","11/15/2023"
"13482982","2/1/2024","11/15/2023"
"13483272","6/15/2022",""
"13483638","6/13/2022",""
"13483736","6/17/2022",""
"13485504","6/17/2022",""
"13485670","11/18/2023",""
"13485670","11/18/2023",""
"13485523","6/23/2022",""
"13485626","6/14/2022",""
"13485627","6/11/2022",""
"13485665","6/17/2022",""
"13489904","9/18/2022",""
"13489974","9/11/2024",""
"13489974","9/11/2024",""
"13489974","9/11/2024",""
"13489974","9/11/2024",""
"13491851","6/27/2024",""
"13491851","6/27/2024",""
"13491851","6/27/2024",""
"13491851","6/27/2024",""
"13491851","6/27/2024",""
"13491851","6/27/2024",""
"13491851","6/27/2024",""
"13491852","6/27/2022",""
"13492090","6/27/2022",""
"13492212","6/29/2022",""
"13492237","6/27/2022",""
"13492245","6/22/2024",""
"13492260","6/27/2022",""
"13492441","2/20/2025",""
"13492706","8/28/2024",""
"13493951","",""
"13493951","",""
"13498757","7/11/2022",""
"13498820","7/16/2022",""
"13506998","2/17/2025",""
"13528853","7/30/2022",""
"13531610","7/30/2022",""
"13532649","8/12/2022",""
"13532984","9/5/2024",""
"13532984","9/5/2024",""
"13532984","9/5/2024",""
"13533014","8/17/2022",""
"13533188","8/17/2022",""
"13535649","12/28/2023",""
"13535649","12/28/2023",""
"13542548","2/19/2025",""
"13542548","2/19/2025",""
"13542548","2/19/2025",""
"13542548","2/19/2025",""
"13542549","2/22/2024",""
"13542549","2/22/2024",""
"13542639","9/15/2022",""
"13542856","3/10/2024",""
"13542856","3/10/2024",""
"13542856","3/10/2024",""
"13542856","3/10/2024",""
"13542856","3/10/2024",""
"13542857","3/10/2024",""
"13542857","3/10/2024",""
"13542857","3/10/2024",""
"13542857","3/10/2024",""
"13542857","3/10/2024",""
"13543779","2/25/2023",""
"13544086","9/6/2024",""
"13544086","9/6/2024",""
"13544086","9/6/2024",""
"13551065","10/27/2022",""
"13551213","3/2/2025",""
"13553958","11/18/2022",""
"13554664","11/29/2022",""
"13555458","11/30/2022",""
"13556510","5/7/2023",""
"13556510","5/7/2023",""
"13556545","12/11/2022",""
"13556652","12/14/2022",""
"13556734","12/11/2022",""
"13556735","12/11/2022",""
"13557160","12/11/2022",""
"13557161","12/11/2022",""
"13557162","12/11/2022",""
"13557200","12/11/2022",""
"13557202","12/11/2022",""
"13559165","12/16/2022",""
"13560131","5/5/2024",""
"13560131","5/5/2024",""
"13560315","9/23/2024",""
"13560315","9/23/2024",""
"13560340","12/11/2022",""
"13560383","9/23/2024",""
"13560383","9/23/2024",""
"13560385","12/14/2022",""
"13560465","12/11/2022",""
"13560481","12/11/2022",""
"13560598","12/9/2022",""
"13560993","12/22/2022",""
"13560997","12/19/2022",""
"13561156","11/28/2023",""
"13561156","11/28/2023",""
"13561336","12/21/2022",""
"13561492","12/23/2023",""
"13561492","12/23/2023",""
"13561910","12/18/2022",""
"13562093","12/21/2024",""
"13562093","12/21/2024",""
"13562093","12/21/2024",""
"13562093","12/21/2024",""
"13562508","12/13/2024",""
"13562508","12/13/2024",""
"13562732","12/13/2024",""
"13562732","12/13/2024",""
"13563326","3/14/2023",""
"13563443","12/31/2023",""
"13564224","1/13/2023",""
